color_name,lower_h,lower_s,lower_v,upper_h,upper_s,upper_v
Merah,0,70,50,10,255,255
Hijau,35,70,50,85,255,255
Biru,100,70,50,130,255,255
Kuning,25,70,50,35,255,255
Hitam,0,0,0,180,255,50
Putih,0,0,200,180,30,255
Abu-abu,0,0,50,180,30,200
Cokelat,10,100,20,20,255,90
MerahMuda,160,70,70,170,255,255
Jingga,10,70,50,25,255,255
Ungu,130,70,50,160,255,255
BiruMuda,90,50,70,110,255,255
HijauMuda,40,50,70,70,255,255
Emas,20,200,50,30,255,255
Perak,0,0,160,180,30,200
Indigo,120,70,50,140,255,255
Cyan,85,70,70,100,255,255
Magenta,140,70,70,170,255,255
Krem,20,30,200,40,100,255
Turquoise,170,70,70,180,255,255
Biru Tua,110,70,20,130,255,70
Hijau Tua,50,70,20,70,255,70
Merah Tua,0,70,20,10,255,50
Kuning Pudar,25,50,70,35,200,255
Karang,5,100,70,15,255,255
Salmon,5,70,80,15,200,255
Lavender,160,20,70,170,70,255
Biru,100,70,50,130,255,255
Navy,110,70,20,130,255,50